test_accuracy,overall_accuracy,test_f1,overall_f1,test_precision,test_recall,overall_precision,overall_recall,period_param,lag,min
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.76,0.4,0.6,0.57,0.3,0.82,0.48,8.0,0.0,15.0
0.61,0.84,0.47,0.79,0.57,0.4,0.86,0.74,8.0,8.0,5.0
0.59,0.75,0.35,0.57,0.56,0.25,0.85,0.43,8.0,8.0,15.0
0.64,0.83,0.63,0.81,0.56,0.72,0.76,0.87,8.0,16.0,5.0
0.61,0.72,0.32,0.5,0.62,0.21,0.88,0.35,8.0,16.0,15.0
0.63,0.87,0.62,0.86,0.55,0.7,0.78,0.96,8.0,24.0,5.0
0.6,0.71,0.33,0.44,0.59,0.23,0.86,0.3,8.0,24.0,15.0
0.61,0.84,0.58,0.83,0.54,0.63,0.78,0.88,8.0,32.0,5.0
0.6,0.71,0.29,0.45,0.6,0.2,0.84,0.31,8.0,32.0,15.0
0.58,0.82,0.61,0.82,0.51,0.76,0.72,0.96,12.0,0.0,5.0
0.61,0.66,0.24,0.28,0.71,0.15,0.8,0.17,12.0,0.0,15.0
0.61,0.84,0.56,0.82,0.54,0.59,0.8,0.84,12.0,8.0,5.0
0.59,0.68,0.28,0.37,0.57,0.19,0.83,0.24,12.0,8.0,15.0
0.6,0.85,0.55,0.84,0.53,0.57,0.81,0.87,12.0,16.0,5.0
0.59,0.7,0.3,0.45,0.56,0.2,0.83,0.31,12.0,16.0,15.0
0.58,0.9,0.5,0.89,0.52,0.47,0.88,0.9,12.0,24.0,3.0
0.59,0.87,0.56,0.85,0.52,0.6,0.81,0.91,12.0,24.0,5.0
0.6,0.73,0.34,0.52,0.57,0.24,0.86,0.38,12.0,24.0,15.0
0.6,0.84,0.6,0.83,0.53,0.7,0.75,0.94,12.0,32.0,5.0
0.59,0.73,0.27,0.49,0.6,0.17,0.91,0.34,12.0,32.0,15.0
0.59,0.72,0.3,0.49,0.55,0.21,0.85,0.34,16.0,0.0,15.0
0.57,0.86,0.54,0.84,0.51,0.58,0.8,0.9,16.0,8.0,3.0
0.59,0.84,0.61,0.83,0.51,0.74,0.74,0.96,16.0,8.0,5.0
0.58,0.7,0.23,0.43,0.53,0.15,0.86,0.29,16.0,8.0,15.0
0.6,0.85,0.6,0.84,0.53,0.69,0.79,0.9,16.0,16.0,5.0
0.58,0.81,0.44,0.73,0.52,0.38,0.82,0.66,16.0,16.0,15.0
0.57,0.59,0.02,0.07,1.0,0.01,1.0,0.03,16.0,24.0,3.0
0.59,0.84,0.62,0.84,0.52,0.79,0.74,0.98,16.0,24.0,5.0
0.6,0.76,0.38,0.6,0.58,0.28,0.84,0.47,16.0,24.0,15.0
0.63,0.83,0.6,0.82,0.55,0.65,0.76,0.9,16.0,32.0,5.0
0.59,0.8,0.38,0.7,0.53,0.29,0.88,0.58,16.0,32.0,15.0
0.57,0.86,0.5,0.84,0.51,0.48,0.84,0.84,24.0,0.0,3.0
0.59,0.84,0.58,0.83,0.51,0.67,0.77,0.91,24.0,0.0,5.0
0.59,0.77,0.38,0.64,0.54,0.3,0.84,0.52,24.0,0.0,15.0
0.59,0.84,0.6,0.84,0.52,0.73,0.74,0.98,24.0,8.0,3.0
0.64,0.84,0.64,0.84,0.56,0.76,0.75,0.96,24.0,8.0,5.0
0.59,0.81,0.44,0.74,0.54,0.37,0.82,0.67,24.0,8.0,15.0
0.61,0.86,0.6,0.85,0.54,0.68,0.8,0.92,24.0,16.0,5.0
0.59,0.76,0.38,0.62,0.54,0.3,0.81,0.5,24.0,16.0,15.0
0.62,0.85,0.62,0.84,0.54,0.74,0.76,0.95,24.0,24.0,5.0
0.58,0.79,0.38,0.68,0.53,0.3,0.83,0.58,24.0,24.0,15.0
0.6,0.86,0.59,0.85,0.53,0.67,0.79,0.93,24.0,32.0,5.0
0.6,0.66,0.2,0.26,0.7,0.12,0.89,0.16,24.0,32.0,15.0
0.58,0.76,0.42,0.67,0.51,0.35,0.84,0.56,32.0,0.0,5.0
0.63,0.69,0.31,0.39,0.76,0.2,0.85,0.26,32.0,0.0,15.0
0.58,0.89,0.45,0.87,0.52,0.4,0.86,0.88,32.0,8.0,3.0
0.62,0.83,0.6,0.81,0.54,0.67,0.76,0.88,32.0,8.0,5.0
0.58,0.72,0.27,0.5,0.55,0.18,0.86,0.36,32.0,8.0,15.0
0.58,0.82,0.33,0.76,0.53,0.24,0.91,0.65,32.0,16.0,3.0
0.63,0.82,0.53,0.78,0.59,0.48,0.83,0.73,32.0,16.0,5.0
0.62,0.8,0.48,0.71,0.58,0.41,0.79,0.64,32.0,16.0,15.0
0.61,0.85,0.6,0.84,0.53,0.68,0.78,0.91,32.0,24.0,5.0
0.6,0.75,0.39,0.61,0.57,0.3,0.78,0.5,32.0,24.0,15.0
0.58,0.88,0.47,0.87,0.52,0.43,0.86,0.88,32.0,32.0,5.0
0.59,0.77,0.3,0.63,0.56,0.2,0.88,0.48,32.0,32.0,15.0
0.58,0.7,0.24,0.51,0.52,0.16,0.86,0.36,48.0,0.0,5.0
0.59,0.71,0.29,0.47,0.55,0.2,0.82,0.33,48.0,0.0,15.0
0.59,0.88,0.53,0.87,0.53,0.53,0.83,0.91,48.0,8.0,3.0
0.6,0.85,0.58,0.84,0.52,0.64,0.77,0.92,48.0,8.0,5.0
0.58,0.77,0.33,0.63,0.52,0.24,0.84,0.5,48.0,8.0,15.0
0.61,0.87,0.5,0.85,0.55,0.46,0.84,0.85,48.0,16.0,5.0
0.61,0.78,0.42,0.67,0.57,0.33,0.81,0.57,48.0,16.0,15.0
0.57,0.87,0.48,0.85,0.51,0.46,0.85,0.85,48.0,24.0,3.0
0.59,0.85,0.5,0.82,0.52,0.48,0.85,0.8,48.0,24.0,5.0
0.59,0.8,0.42,0.71,0.53,0.35,0.81,0.63,48.0,24.0,15.0
0.61,0.82,0.48,0.78,0.56,0.43,0.86,0.71,48.0,32.0,5.0
0.58,0.79,0.34,0.68,0.51,0.26,0.86,0.56,48.0,32.0,15.0
